size,throughput
16,9.60e-02
32,8.00e-02
48,1.11e-01
64,5.19e-02
80,6.32e-02
96,9.29e-02
112,6.11e-02
128,7.84e-02
144,5.47e-02
160,7.87e-02
176,7.65e-02
192,7.20e-02
208,7.26e-02
224,6.72e-02
240,6.86e-02
256,6.24e-02
272,6.92e-02
288,6.75e-02
304,6.61e-02
320,6.36e-02
336,6.04e-02
352,6.00e-02
368,6.00e-02
384,5.57e-02
400,5.66e-02
416,5.43e-02
432,5.02e-02
448,5.03e-02
464,4.67e-02
480,4.47e-02
496,4.42e-02
512,3.99e-02
528,4.34e-02
544,4.13e-02
560,3.31e-02
576,3.95e-02
592,3.90e-02
608,3.79e-02
624,3.59e-02
640,3.40e-02
656,2.81e-02
672,3.29e-02
688,2.77e-02
704,3.27e-02
720,3.18e-02
736,3.11e-02
752,3.16e-02
768,2.98e-02
784,3.06e-02
800,2.95e-02
816,2.90e-02
832,2.95e-02
848,2.88e-02
864,2.77e-02
880,2.76e-02
896,2.78e-02
912,2.75e-02
928,2.75e-02
944,2.64e-02
960,2.65e-02
976,2.64e-02
992,2.60e-02
1008,2.49e-02
