size,throughput
16,1.60e-01
32,1.37e-01
48,1.31e-01
64,1.28e-01
80,8.89e-02
96,1.07e-01
112,1.08e-01
128,7.11e-02
144,1.00e-01
160,9.60e-02
176,9.60e-02
192,9.76e-02
208,5.94e-02
224,7.00e-02
240,8.67e-02
256,5.95e-02
272,5.51e-02
288,5.68e-02
304,5.70e-02
320,6.40e-02
336,5.45e-02
352,5.53e-02
368,5.55e-02
384,5.73e-02
400,4.72e-02
416,5.72e-02
432,4.84e-02
448,4.25e-02
464,4.34e-02
480,4.06e-02
496,4.03e-02
512,3.34e-02
528,3.91e-02
544,3.53e-02
560,3.97e-02
576,3.81e-02
592,3.72e-02
608,3.80e-02
624,3.51e-02
640,3.38e-02
656,3.36e-02
672,3.38e-02
688,3.31e-02
704,3.26e-02
720,2.69e-02
736,3.21e-02
752,3.15e-02
768,2.99e-02
784,3.05e-02
800,2.86e-02
816,2.85e-02
832,2.24e-02
848,2.53e-02
864,2.86e-02
880,2.69e-02
896,2.64e-02
912,2.79e-02
928,2.76e-02
944,2.59e-02
960,2.63e-02
976,2.68e-02
992,2.61e-02
1008,2.58e-02
