size,throughput
16,9.60e-02
32,6.00e-02
48,6.26e-02
64,6.40e-02
80,4.90e-02
96,7.02e-02
112,4.94e-02
128,5.26e-02
144,4.91e-02
160,4.66e-02
176,4.93e-02
192,4.61e-02
208,4.46e-02
224,4.10e-02
240,4.50e-02
256,4.13e-02
272,3.89e-02
288,3.86e-02
304,3.49e-02
320,3.62e-02
336,2.95e-02
352,3.17e-02
368,3.03e-02
384,3.54e-02
400,3.48e-02
416,3.41e-02
432,3.35e-02
448,2.87e-02
464,2.89e-02
480,3.01e-02
496,2.68e-02
512,2.59e-02
528,2.58e-02
544,2.35e-02
560,2.41e-02
576,2.29e-02
592,2.30e-02
608,2.22e-02
624,2.12e-02
640,2.16e-02
656,2.10e-02
672,2.07e-02
688,2.00e-02
704,2.03e-02
720,2.07e-02
736,1.99e-02
752,1.94e-02
768,1.87e-02
784,1.90e-02
800,1.83e-02
816,1.85e-02
832,1.89e-02
848,1.81e-02
864,1.82e-02
880,1.74e-02
896,1.74e-02
912,1.74e-02
928,1.77e-02
944,1.71e-02
960,1.70e-02
976,1.75e-02
992,1.72e-02
1008,1.68e-02
