size,throughput
16,6.86e-02
32,6.86e-02
48,8.00e-02
64,6.00e-02
80,7.50e-02
96,7.02e-02
112,5.69e-02
128,6.30e-02
144,4.65e-02
160,6.23e-02
176,6.60e-02
192,6.26e-02
208,3.78e-02
224,4.42e-02
240,5.45e-02
256,5.69e-02
272,5.07e-02
288,5.05e-02
304,4.65e-02
320,4.68e-02
336,4.42e-02
352,3.64e-02
368,3.70e-02
384,3.80e-02
400,3.40e-02
416,3.42e-02
432,3.25e-02
448,3.01e-02
464,3.07e-02
480,2.21e-02
496,2.81e-02
512,2.45e-02
528,2.46e-02
544,2.40e-02
560,2.31e-02
576,2.23e-02
592,2.30e-02
608,2.14e-02
624,2.12e-02
640,2.17e-02
656,2.07e-02
672,2.11e-02
688,1.90e-02
704,2.02e-02
720,2.04e-02
736,1.96e-02
752,1.96e-02
768,1.92e-02
784,1.93e-02
800,1.84e-02
816,1.81e-02
832,1.88e-02
848,1.81e-02
864,1.84e-02
880,1.76e-02
896,1.74e-02
912,1.71e-02
928,1.75e-02
944,1.33e-02
960,1.31e-02
976,1.36e-02
992,1.38e-02
1008,1.43e-02
